doc_id,state,source_path,effective_date,end_date,duration,end_date_source,validity_status,validity_evidence,evidence_short,error
Alabama/Alabama_1,Alabama,d:\NLP_Project_tasks_6_8_11\OCR_output\Alabama\Alabama_1.txt,,,,,uncertain,"[{""text"": ""Agreement Between The State of Alabama, Alabama Development Office (ADO) and The State of Brandenburg Ministry of Economics, Small and Medium Business, and Technology (MWMT) Whereas: It is agreed by and between the ADO and the MWMT that the prospects for expanded economic cooperation between the two states are excellent and as a result the economic structure of both states will mutually benefit; Whereas: the ADO and MWMT each have important responsibilities for encouraging the growth of trade and investment relations within the framework of a free enterprise economy; Now, Therefore, It is agreed between ADO and MWMT 1."", ""timex_text"": ""Now"", ""timex_type"": ""DATE"", ""timex_value"": ""PRESENT_REF""}]","Agreement Between The State of Alabama, Alabama Development Office (ADO) and The State of Brandenburg Ministry of Econom…",
Alabama/Alabama_10,Alabama,d:\NLP_Project_tasks_6_8_11\OCR_output\Alabama\Alabama_10.txt,2007-11-16,2032-01-01,three years,,found,"[{""text"": ""Southeastern United States - Canadian Provinces Alliance (SEUS = CP) BYLAWS Amended 5 June 2017 Southeastern United States = Canadian Provinces Alliance Bylaws I."", ""timex_text"": ""5 June 2017"", ""timex_type"": ""DATE"", ""timex_value"": ""2017-06-05""}, {""text"": ""States (Southeastern United States) - Members of the Southeastern United States - Canadian Provinces Alliance (hereinafter called \""the Alliance\"") shall consist of the states that signed the Alliance Joint Declaration in Montréal on November 16, 2007."", ""timex_text"": ""November 16, 2007"", ""timex_type"": ""DATE"", ""timex_value"": ""2007-11-16""}, {""text"": ""States (Southeastern United States) - Members of the Southeastern United States - Canadian Provinces Alliance (hereinafter called \""the Alliance\"") shall consist of the states that signed the Alliance Joint Declaration in Montréal on November 16, 2007."", ""timex_text"": ""November 16, 2007"", ""timex_type"": ""DATE"", ""timex_value"": ""2007-11-16""}, {""text"": ""Manitoba subsequently withdrew from the Alliance in 2016."", ""timex_text"": ""2016"", ""timex_type"": ""DATE"", ""timex_value"": ""2016""}, {""text"": ""Addition of New Members I Addition of new member states or provinces is subject to a vote by current member states and provinces per the voting rules and procedures outlined in Section III of the Bylaws."", ""timex_text"": ""current"", ""timex_type"": ""DATE"", ""timex_value"": ""PRESENT_REF""}]",Southeastern United States - Canadian Provinces Alliance (SEUS = CP) BYLAWS Amended 5 June 2017 Southeastern United Stat…,
Alabama/Alabama_2,Alabama,d:\NLP_Project_tasks_6_8_11\OCR_output\Alabama\Alabama_2.txt,2007-11-01,,,,found,"[{""text"": ""It is intended that the SEUS-Canadian Provinces Alliance will meet annually hu 1 ne c lea d ars ltern atino venues The SEUS-Canadian Provinces Alliance will function within the framework of the general relations between the Governments of Canada and the United States of America and by the proper observation of corresponding laws and policies of both countries, Provinces and States."", ""timex_text"": ""annually"", ""timex_type"": ""SET"", ""timex_value"": ""XXXX""}, {""text"": ""Done at Montréal, this 16th day of November 2007, in thirteen copies, in the English and French languages."", ""timex_text"": ""November 2007"", ""timex_type"": ""DATE"", ""timex_value"": ""2007-11""}]",It is intended that the SEUS-Canadian Provinces Alliance will meet annually hu 1 ne c lea d ars ltern atino venues The S…,
Alabama/Alabama_3,Alabama,d:\NLP_Project_tasks_6_8_11\OCR_output\Alabama\Alabama_3.txt,,,three years,,found,"[{""text"": ""This Memorandum of Intent shall enter into effect upon signature and shall remain in force for a period of three years or until such date as otherwise agreed upon."", ""timex_text"": ""three years"", ""timex_type"": ""DURATION"", ""timex_value"": ""P3Y""}, {""text"": ""Signed in the city of Jerusalem, this 27 day of 0codep1997."", ""timex_text"": ""27 day"", ""timex_type"": ""DURATION"", ""timex_value"": ""P27D""}]",This Memorandum of Intent shall enter into effect upon signature and shall remain in force for a period of three years o…,
Alabama/Alabama_4,Alabama,d:\NLP_Project_tasks_6_8_11\OCR_output\Alabama\Alabama_4.txt,1994-01-01,1994-06-01,,,found,"[{""text"": ""MEMORANDUM OF UNDERSTANDING AND COOPERATION BETWEEN THE ALABAMA DEVELOPMENT OFFICE AND THE WIRTSCHAFTSFORDERUNG BRANDENBURG GMBH Potsdam, January 14th, 1994 Whereas: It is agreed by and between the Alabama Development Office (hereinafter referred to as ADO) and the WirtschaftsfOrderung Brandenburg GmbH (hereinafter referred to as WFB), the parties hereto, that the prospects for expanded ecenomic cooperation between Brandenburg and Alabama are excellent and give promise of yielding substantial mutual benefits based on the complentary economic structure of the two states; and Whereas: the ADO and the WFB each bear important responsibilities for encouraging the growth of trade and investment relations within the frameworks of a free enterprise economy; Now, Therefore, It is agreed between ADO and WFB that each will take necessary steps to: 1."", ""timex_text"": ""January 14th, 1994"", ""timex_type"": ""DATE"", ""timex_value"": ""1994-01-14""}, {""text"": ""MEMORANDUM OF UNDERSTANDING AND COOPERATION BETWEEN THE ALABAMA DEVELOPMENT OFFICE AND THE WIRTSCHAFTSFORDERUNG BRANDENBURG GMBH Potsdam, January 14th, 1994 Whereas: It is agreed by and between the Alabama Development Office (hereinafter referred to as ADO) and the WirtschaftsfOrderung Brandenburg GmbH (hereinafter referred to as WFB), the parties hereto, that the prospects for expanded ecenomic cooperation between Brandenburg and Alabama are excellent and give promise of yielding substantial mutual benefits based on the complentary economic structure of the two states; and Whereas: the ADO and the WFB each bear important responsibilities for encouraging the growth of trade and investment relations within the frameworks of a free enterprise economy; Now, Therefore, It is agreed between ADO and WFB that each will take necessary steps to: 1."", ""timex_text"": ""Now"", ""timex_type"": ""DATE"", ""timex_value"": ""PRESENT_REF""}, {""text"": ""MEMORANDUM OF UNDERSTANDING AND COOPERATION BETWEEN THE ALABAMA DEVELOPMENT OFFICE AND THE WIRTSCHAFTSFORDERUNG BRANDENBURG GMBH Potsdam, January 14th, 1994 Whereas: It is agreed by and between the Alabama Development Office (hereinafter referred to as ADO) and the WirtschaftsfOrderung Brandenburg GmbH (hereinafter referred to as WFB), the parties hereto, that the prospects for expanded ecenomic cooperation between Brandenburg and Alabama are excellent and give promise of yielding substantial mutual benefits based on the complentary economic structure of the two states; and Whereas: the ADO and the WFB each bear important responsibilities for encouraging the growth of trade and investment relations within the frameworks of a free enterprise economy; Now, Therefore, It is agreed between ADO and WFB that each will take necessary steps to: 1."", ""timex_text"": ""January 14th, 1994"", ""timex_type"": ""DATE"", ""timex_value"": ""1994-01-14""}, {""text"": ""Joint participation in exhibitions and fairs - ILA 1994 in Schônefeld, Brandenburg, May/June 1994 - Singapore Air Show in Singapore - Hannover Fair, Germany, April 1994 - TABS Technical and Business Exhibition Seminar in Huntsville, Alabama, Mai 1994 2."", ""timex_text"": ""May"", ""timex_type"": ""DATE"", ""timex_value"": ""1994-05""}, {""text"": ""Joint participation in exhibitions and fairs - ILA 1994 in Schônefeld, Brandenburg, May/June 1994 - Singapore Air Show in Singapore - Hannover Fair, Germany, April 1994 - TABS Technical and Business Exhibition Seminar in Huntsville, Alabama, Mai 1994 2."", ""timex_text"": ""June 1994"", ""timex_type"": ""DATE"", ""timex_value"": ""1994-06""}]",MEMORANDUM OF UNDERSTANDING AND COOPERATION BETWEEN THE ALABAMA DEVELOPMENT OFFICE AND THE WIRTSCHAFTSFORDERUNG BRANDENB…,
Alabama/Alabama_5,Alabama,d:\NLP_Project_tasks_6_8_11\OCR_output\Alabama\Alabama_5.txt,2010-08-25,,two years,,found,"[{""text"": ""It is intended that this relationship will last for two years, renewable upon mutual agreement by both parties."", ""timex_text"": ""two years"", ""timex_type"": ""DURATION"", ""timex_value"": ""P2Y""}]","It is intended that this relationship will last for two years, renewable upon mutual agreement by both parties.",
Alabama/Alabama_6,Alabama,d:\NLP_Project_tasks_6_8_11\OCR_output\Alabama\Alabama_6.txt,2015-01-01,,30 days,,found,"[{""text"": ""However, any Party may withdraw from the Memorandum of Understanding by written notification to the other party 30 days in advance."", ""timex_text"": ""30 days"", ""timex_type"": ""DURATION"", ""timex_value"": ""P30D""}, {""text"": ""SIGNED this sixteenth day of January, 2015 at Montgomery, Alabama in duplicate in the English and Spanish languages, each text being equally valid."", ""timex_text"": ""January"", ""timex_type"": ""DATE"", ""timex_value"": ""XXXX-01""}, {""text"": ""SIGNED this sixteenth day of January, 2015 at Montgomery, Alabama in duplicate in the English and Spanish languages, each text being equally valid."", ""timex_text"": ""2015"", ""timex_type"": ""DATE"", ""timex_value"": ""2015""}]","However, any Party may withdraw from the Memorandum of Understanding by written notification to the other party 30 days …",
Alabama/Alabama_7,Alabama,d:\NLP_Project_tasks_6_8_11\OCR_output\Alabama\Alabama_7.txt,2006-01-01,2006-07-12,,,found,"[{""text"": ""From July 10th to 12th, 2006, At the invitation of the Honorable Luo Quingquan, Governor of Hubei Province, the Honorable Bob Riley, Governor oft the State of Alabama, led a business mission to Hubei Province for an official visit."", ""timex_text"": ""July 10th"", ""timex_type"": ""DATE"", ""timex_value"": ""2006-07-10""}, {""text"": ""From July 10th to 12th, 2006, At the invitation of the Honorable Luo Quingquan, Governor of Hubei Province, the Honorable Bob Riley, Governor oft the State of Alabama, led a business mission to Hubei Province for an official visit."", ""timex_text"": ""12th, 2006"", ""timex_type"": ""DATE"", ""timex_value"": ""2006-07-12""}, {""text"": ""From July 10th to 12th, 2006, At the invitation of the Honorable Luo Quingquan, Governor of Hubei Province, the Honorable Bob Riley, Governor oft the State of Alabama, led a business mission to Hubei Province for an official visit."", ""timex_text"": ""July"", ""timex_type"": ""DATE"", ""timex_value"": ""2006-07""}, {""text"": ""on the 11th day of July in the year 2006, in duplicate in Chinese and English, both texts being equally authentic."", ""timex_text"": ""the year 2006"", ""timex_type"": ""DATE"", ""timex_value"": ""2006""}]","From July 10th to 12th, 2006, At the invitation of the Honorable Luo Quingquan, Governor of Hubei Province, the Honorabl…",
Alabama/Alabama_8,Alabama,d:\NLP_Project_tasks_6_8_11\OCR_output\Alabama\Alabama_8.txt,2008-01-01,2022-06-10,five years,,found,"[{""text"": ""Energy 1 In recent decades, U.S."", ""timex_text"": ""recent decades"", ""timex_type"": ""DATE"", ""timex_value"": ""PAST_REF""}, {""text"": ""Other areas where common interests are shared Term of Validity In witness hereof the undersigned, being authorized by their respective Governments, do sign this Memorandum of Understanding in the city of Nanjing, Jiangsu Province, the People's Republic of China, on 9th of April in the year of 2008, in duplicate in Chinese and English - both texts being equally authentic."", ""timex_text"": ""9th of April"", ""timex_type"": ""DATE"", ""timex_value"": ""XXXX-04-09""}, {""text"": ""Other areas where common interests are shared Term of Validity In witness hereof the undersigned, being authorized by their respective Governments, do sign this Memorandum of Understanding in the city of Nanjing, Jiangsu Province, the People's Republic of China, on 9th of April in the year of 2008, in duplicate in Chinese and English - both texts being equally authentic."", ""timex_text"": ""2008"", ""timex_type"": ""DATE"", ""timex_value"": ""2008""}, {""text"": ""This Memorandum will remain in effect for a period off five years from the date of signature, or until such a date is otherwise agreed upon."", ""timex_text"": ""five years"", ""timex_type"": ""DURATION"", ""timex_value"": ""P5Y""}, {""text"": ""JJ7 Honorable Bob Riley Honorable Luo Zhijun Governor Governor State of Alabama Jiangsu Province The United States of America The People's Republic ofChina Nanjing, April 9th 2008 and information technology, among others, illustrates this practice."", ""timex_text"": ""April 9th 2008"", ""timex_type"": ""DATE"", ""timex_value"": ""2008-04-09""}]","Energy 1 In recent decades, U.S.",
Alabama/Alabama_9,Alabama,d:\NLP_Project_tasks_6_8_11\OCR_output\Alabama\Alabama_9.txt,2000-01-01,,,,found,"[{""text"": ""2000."", ""timex_text"": ""2000"", ""timex_type"": ""DATE"", ""timex_value"": ""2000""}]",2000.,
