state,n_docs,n_errors,total_time_sec,avg_time_sec,median_time_sec,p95_time_sec,avg_py_peak_mem_mb,max_py_peak_mem_mb,avg_rss_delta_mb,max_rss_delta_mb
Alabama,10,0,28.044413099996746,2.8044413099996746,2.6335280999774113,3.5753698700340455,0.06214275360107422,0.21539020538330078,0.080859375,0.4453125
Alaska,12,0,38.110694400267676,3.1758912000223063,2.8380270999623463,4.758265175076665,0.1335024038950602,0.5515851974487305,0.08333333333333333,0.4296875
Arizona,17,1,48.41151470062323,2.84773615886019,2.7554375000763685,3.5581790199503303,0.09519756541532629,0.23654842376708984,0.009650735294117647,0.02734375
Arkansas,10,0,27.29130609985441,2.729130609985441,2.5887303499039263,3.6764032300561653,0.07670326232910156,0.2943258285522461,0.007421875,0.015625
California,116,0,340.6599862028379,2.936724018989982,2.8633824499556795,3.716802250011824,0.10257470196691053,0.4548072814941406,0.0030980603448275863,0.19921875
Connecticut,2,0,6.0725868998561054,3.0362934499280527,3.0362934499280527,3.1633302949252537,0.1413564682006836,0.18007659912109375,0.001953125,0.00390625
Hawaii,4,0,9.093190600164235,2.2732976500410587,2.268950550002046,2.350889145070687,0.04028654098510742,0.040615081787109375,0.0078125,0.03125
Idaho,1,0,2.9340992998331785,2.9340992998331785,2.9340992998331785,2.9340992998331785,0.03952503204345703,0.03952503204345703,0.0,0.0
Illinois,1,0,2.5182427000254393,2.5182427000254393,2.5182427000254393,2.5182427000254393,0.03975868225097656,0.03975868225097656,0.0,0.0
Indiana,3,0,8.360735000343993,2.786911666781331,2.724177800118923,3.1548882801318543,0.04706255594889323,0.06103706359863281,0.0013020833333333333,0.00390625
Maine,1,0,4.390380699886009,4.390380699886009,4.390380699886009,4.390380699886009,0.18137550354003906,0.18137550354003906,0.0,0.0
Maryland,4,0,21.58631130005233,5.3965778250130825,5.590586649952456,6.84636376008857,0.04014873504638672,0.04041862487792969,0.0,0.0
Massachusetts,1,0,8.230611499864608,8.230611499864608,8.230611499864608,8.230611499864608,0.1813955307006836,0.1813955307006836,0.0,0.0
Michigan,4,0,14.269132899818942,3.5672832249547355,3.8509416499873623,4.083477489906363,0.20124602317810059,0.2852926254272461,0.0009765625,0.00390625
Minnesota,2,0,6.282676299801096,3.141338149900548,3.141338149900548,3.8247148549300616,0.15863895416259766,0.2774782180786133,0.0,0.0
New Hampshire,1,0,3.3909940000157803,3.3909940000157803,3.3909940000157803,3.3909940000157803,0.18182659149169922,0.18182659149169922,0.0,0.0
New Jersey,1,0,2.9411033999640495,2.9411033999640495,2.9411033999640495,2.9411033999640495,0.11841583251953125,0.11841583251953125,0.0,0.0
New York,3,0,8.569391499971971,2.8564638333239905,2.991808299906552,3.2150726499967277,0.10874207814534505,0.18017101287841797,0.0013020833333333333,0.00390625
North Carolina,2,0,5.357791699934751,2.6788958499673754,2.6788958499673754,2.751652704877779,0.04720449447631836,0.052277565002441406,0.00390625,0.0078125
Ohio,5,0,11.750146599952132,2.3500293199904263,2.3427826000843197,2.467698699980974,0.03992900848388672,0.040411949157714844,0.00078125,0.00390625
Oregon,1,0,4.704245300032198,4.704245300032198,4.704245300032198,4.704245300032198,0.3376598358154297,0.3376598358154297,0.14453125,0.14453125
Pennsylvania,2,0,8.044684899970889,4.0223424499854445,4.0223424499854445,5.1809673950076105,0.16868877410888672,0.29687976837158203,0.0078125,0.015625
Rhode Island,1,0,3.617700100177899,3.617700100177899,3.617700100177899,3.617700100177899,0.18089771270751953,0.18089771270751953,0.0,0.0
Texas,54,2,167.12416370096616,3.094891920388262,2.602703750017099,4.978098634886555,0.07457392304031937,0.3905506134033203,-0.30910011574074076,0.06640625
Utah,22,0,61.2481334998738,2.784006068176082,2.6571930999634787,3.486347610072698,0.07253365083174272,0.18178749084472656,-0.006747159090909091,0.03515625
Vermont,11,0,33.18170589953661,3.0165187181396917,2.5778907998465,4.687594849965535,0.1222998012195934,0.4550333023071289,0.03196022727272727,0.29296875
Virginia,1,0,2.1490873999428004,2.1490873999428004,2.1490873999428004,2.1490873999428004,0.039798736572265625,0.039798736572265625,0.0,0.0
Washington,4,0,11.044212499866262,2.7610531249665655,2.379982649930753,3.8681442850618617,0.11156892776489258,0.3230562210083008,0.005859375,0.0234375
Wisconsin,2,0,5.570737699978054,2.785368849989027,2.785368849989027,3.303743154951371,0.15838861465454102,0.27616024017333984,0.0,0.0
